,codigo,acao,tipo,qtde_teorica,participacao_percentual,info_extraction_date
0,ALOS3,ALLOS,ON ED NM,502481592,0.509,26-11-24
1,ALPA4,ALPARGATAS,PN N1,166460180,0.055,26-11-24
2,ABEV3,AMBEV S/A,ON,4394835131,2.599,26-11-24
3,ASAI3,ASSAI,ON NM,1349687675,0.479,26-11-24
4,AURE3,AUREN,ON NM,291727616,0.143,26-11-24
5,AZUL4,AZUL,PN N2,328421113,0.084,26-11-24
6,AZZA3,AZZAS 2154,ON NM,127330493,0.25,26-11-24
7,B3SA3,B3,ON NM,5511401013,2.636,26-11-24
8,BBSE3,BBSEGURIDADE,ON NM,637332335,1.024,26-11-24
9,BBDC3,BRADESCO,ON N1,1484426957,0.837,26-11-24
10,BBDC4,BRADESCO,PN N1,5129958973,3.29,26-11-24
11,BRAP4,BRADESPAR,PN EJ N1,250969312,0.214,26-11-24
12,BBAS3,BRASIL,ON EJ NM,2842613858,3.397,26-11-24
13,BRKM5,BRASKEM,PNA N1,265388400,0.193,26-11-24
14,BRAV3,BRAVA,ON NM,463981130,0.417,26-11-24
15,BRFS3,BRF SA,ON EJ NM,814523002,0.959,26-11-24
16,BPAC11,BTGP BANCO,UNT N2,1287247964,2.01,26-11-24
17,CXSE3,CAIXA SEGURI,ON NM,517500000,0.363,26-11-24
18,CRFB3,CARREFOUR BR,ON NM,531901983,0.168,26-11-24
19,CCRO3,CCR SA,ON NM,991920937,0.565,26-11-24
20,CMIG4,CEMIG,PN N1,1858636840,1.032,26-11-24
21,COGN3,COGNA ON,ON NM,1872454628,0.127,26-11-24
22,CPLE6,COPEL,PNB N2,1679233590,0.766,26-11-24
23,CSAN3,COSAN,ON NM,1165337843,0.618,26-11-24
24,CPFE3,CPFL ENERGIA,ON NM,187732538,0.293,26-11-24
25,CMIN3,CSNMINERACAO,ON N2,1110559345,0.273,26-11-24
26,CVCB3,CVC BRASIL,ON NM,525591097,0.068,26-11-24
27,CYRE3,CYRELA REALT,ON NM,264710610,0.263,26-11-24
28,ELET3,ELETROBRAS,ON N1,1780013881,3.004,26-11-24
29,ELET6,ELETROBRAS,PNB N1,268733136,0.512,26-11-24
30,EMBR3,EMBRAER,ON NM,734632601,1.979,26-11-24
31,ENGI11,ENERGISA,UNT N2,326175300,0.643,26-11-24
32,ENEV3,ENEVA,ON NM,1808392799,1.019,26-11-24
33,EGIE3,ENGIE BRASIL,ON NM,255236938,0.475,26-11-24
34,EQTL3,EQUATORIAL,ON NM,1244602400,1.931,26-11-24
35,EZTC3,EZTEC,ON NM,97334950,0.064,26-11-24
36,FLRY3,FLEURY,ON NM,464420650,0.304,26-11-24
37,GGBR4,GERDAU,PN ED N1,1242683687,1.19,26-11-24
38,GOAU4,GERDAU MET,PN ED N1,661577619,0.349,26-11-24
39,NTCO3,GRUPO NATURA,ON ATZ NM,849350756,0.579,26-11-24
40,HAPV3,HAPVIDA,ON NM,4779395040,0.681,26-11-24
41,HYPE3,HYPERA,ON NM,409310634,0.391,26-11-24
42,IGTI11,IGUATEMI S.A,UNT N1,211468849,0.205,26-11-24
43,IRBR3,IRBBRASIL RE,ON NM,81838243,0.153,26-11-24
44,ISAE4,ISA ENERGIA,PN N1,395801044,0.454,26-11-24
45,ITSA4,ITAUSA,PN N1,5504638590,2.648,26-11-24
46,ITUB4,ITAUUNIBANCO,PN N1,4455161368,7.165,26-11-24
47,JBSS3,JBS,ON ED NM,1142696472,1.881,26-11-24
48,KLBN11,KLABIN S/A,UNT N2,765785673,0.768,26-11-24
49,RENT3,LOCALIZA,ON NM,977700485,2.007,26-11-24
50,LREN3,LOJAS RENNER,ON NM,952487418,0.728,26-11-24
51,LWSA3,LWSA,ON ED NM,420626825,0.085,26-11-24
52,MGLU3,MAGAZ LUIZA,ON NM,353448195,0.167,26-11-24
53,MRFG3,MARFRIG,ON NM,302019876,0.262,26-11-24
54,BEEF3,MINERVA,ON NM,261359935,0.071,26-11-24
55,MRVE3,MRV,ON NM,375335828,0.116,26-11-24
56,MULT3,MULTIPLAN,ON N2,318010631,0.387,26-11-24
57,PCAR3,P.ACUCAR-CBD,ON NM,379327171,0.05,26-11-24
58,PETR3,PETROBRAS,ON N2,2448348744,4.944,26-11-24
59,PETR4,PETROBRAS,PN N2,4431132660,8.187,26-11-24
60,RECV3,PETRORECSA,ON ED NM,275699226,0.22,26-11-24
61,PRIO3,PETRORIO,ON NM,798909771,1.501,26-11-24
62,PETZ3,PETZ,ON ED NM,307729428,0.065,26-11-24
63,RADL3,RAIADROGASIL,ON NM,1279770315,1.526,26-11-24
64,RAIZ4,RAIZEN,PN N2,1192947233,0.15,26-11-24
65,RDOR3,REDE D OR,ON NM,1145289019,1.594,26-11-24
66,RAIL3,RUMO S.A.,ON NM,1215994115,1.166,26-11-24
67,SBSP3,SABESP,ON NM,683508570,3.148,26-11-24
68,SANB11,SANTANDER BR,UNT,356586730,0.445,26-11-24
69,STBP3,SANTOS BRP,ON NM,855712622,0.522,26-11-24
70,SMTO3,SAO MARTINHO,ON NM,142348116,0.168,26-11-24
71,CSNA3,SID NACIONAL,ON ED,736268400,0.391,26-11-24
72,SLCE3,SLC AGRICOLA,ON NM,194261422,0.154,26-11-24
73,SUZB3,SUZANO S.A.,ON NM,630821784,1.782,26-11-24
74,TAEE11,TAESA,UNT N2,218568234,0.353,26-11-24
75,VIVT3,TELEF BRASIL,ON,407257128,0.98,26-11-24
76,TIMS3,TIM,ON NM,807495418,0.621,26-11-24
77,TOTS3,TOTVS,ON NM,540206440,0.758,26-11-24
78,UGPA3,ULTRAPAR,ON NM,1090134379,0.957,26-11-24
79,USIM5,USIMINAS,PNA N1,515193199,0.152,26-11-24
80,VALE3,VALE,ON NM,4270903023,11.716,26-11-24
81,VAMO3,VAMOS,ON NM,485166826,0.14,26-11-24
82,VBBR3,VIBRA,ON NM,1023392529,1.052,26-11-24
83,VIVA3,VIVARA S.A.,ON NM,125823025,0.144,26-11-24
84,WEGE3,WEG,ON NM,1269032828,3.121,26-11-24
85,YDUQ3,YDUQS PART,ON NM,290010465,0.143,26-11-24
