,codigo,acao,tipo,qtde_teorica,participacao_percentual,info_extraction_date
0,ALOS3,ALLOS,ON NM,502481592,0.519,22-11-24
1,ALPA4,ALPARGATAS,PN N1,166460180,0.052,22-11-24
2,ABEV3,AMBEV S/A,ON,4394835131,2.574,22-11-24
3,ASAI3,ASSAI,ON NM,1349687675,0.449,22-11-24
4,AURE3,AUREN,ON NM,291727616,0.141,22-11-24
5,AZUL4,AZUL,PN N2,328421113,0.08,22-11-24
6,AZZA3,AZZAS 2154,ON NM,127330493,0.243,22-11-24
7,B3SA3,B3,ON NM,5511401013,2.699,22-11-24
8,BBSE3,BBSEGURIDADE,ON NM,637332335,1.038,22-11-24
9,BBDC3,BRADESCO,ON EJ N1,1484426957,0.849,22-11-24
10,BBDC4,BRADESCO,PN EJ N1,5129958973,3.292,22-11-24
11,BRAP4,BRADESPAR,PN N1,250969312,0.231,22-11-24
12,BBAS3,BRASIL,ON NM,2842613858,3.509,22-11-24
13,BRKM5,BRASKEM,PNA N1,265388400,0.199,22-11-24
14,BRAV3,BRAVA,ON NM,463981130,0.358,22-11-24
15,BRFS3,BRF SA,ON NM,814523002,0.932,22-11-24
16,BPAC11,BTGP BANCO,UNT N2,1287247964,1.987,22-11-24
17,CXSE3,CAIXA SEGURI,ON ED NM,517500000,0.347,22-11-24
18,CRFB3,CARREFOUR BR,ON NM,531901983,0.176,22-11-24
19,CCRO3,CCR SA,ON ED NM,991920937,0.551,22-11-24
20,CMIG4,CEMIG,PN N1,1858636840,1.031,22-11-24
21,COGN3,COGNA ON,ON NM,1872454628,0.118,22-11-24
22,CPLE6,COPEL,PNB N2,1679233590,0.751,22-11-24
23,CSAN3,COSAN,ON NM,1165337843,0.585,22-11-24
24,CPFE3,CPFL ENERGIA,ON NM,187732538,0.292,22-11-24
25,CMIN3,CSNMINERACAO,ON N2,1110559345,0.272,22-11-24
26,CVCB3,CVC BRASIL,ON NM,525591097,0.06,22-11-24
27,CYRE3,CYRELA REALT,ON NM,264710610,0.259,22-11-24
28,ELET3,ELETROBRAS,ON N1,1780013881,2.993,22-11-24
29,ELET6,ELETROBRAS,PNB N1,268733136,0.508,22-11-24
30,EMBR3,EMBRAER,ON NM,734632601,1.979,22-11-24
31,ENGI11,ENERGISA,UNT N2,326175300,0.64,22-11-24
32,ENEV3,ENEVA,ON NM,1808392799,1.02,22-11-24
33,EGIE3,ENGIE BRASIL,ON NM,255236938,0.467,22-11-24
34,EQTL3,EQUATORIAL,ON NM,1244602400,1.937,22-11-24
35,EZTC3,EZTEC,ON NM,97334950,0.065,22-11-24
36,FLRY3,FLEURY,ON NM,464420650,0.3,22-11-24
37,GGBR4,GERDAU,PN ED N1,1242683687,1.173,22-11-24
38,GOAU4,GERDAU MET,PN ED N1,661577619,0.343,22-11-24
39,NTCO3,GRUPO NATURA,ON ATZ NM,849350756,0.562,22-11-24
40,HAPV3,HAPVIDA,ON NM,4779395040,0.659,22-11-24
41,HYPE3,HYPERA,ON NM,409310634,0.393,22-11-24
42,IGTI11,IGUATEMI S.A,UNT N1,211468849,0.2,22-11-24
43,IRBR3,IRBBRASIL RE,ON NM,81838243,0.151,22-11-24
44,ISAE4,ISA ENERGIA,PN N1,395801044,0.456,22-11-24
45,ITSA4,ITAUSA,PN N1,5504638590,2.691,22-11-24
46,ITUB4,ITAUUNIBANCO,PN N1,4455161368,7.255,22-11-24
47,JBSS3,JBS,ON NM,1142696472,1.896,22-11-24
48,KLBN11,KLABIN S/A,UNT EJ N2,765785673,0.765,22-11-24
49,RENT3,LOCALIZA,ON NM,977700485,2.038,22-11-24
50,LREN3,LOJAS RENNER,ON NM,952487418,0.715,22-11-24
51,LWSA3,LWSA,ON ED NM,420626825,0.081,22-11-24
52,MGLU3,MAGAZ LUIZA,ON NM,353448195,0.155,22-11-24
53,MRFG3,MARFRIG,ON NM,302019876,0.254,22-11-24
54,BEEF3,MINERVA,ON NM,261359935,0.07,22-11-24
55,MRVE3,MRV,ON NM,375335828,0.112,22-11-24
56,MULT3,MULTIPLAN,ON N2,318010631,0.387,22-11-24
57,PCAR3,P.ACUCAR-CBD,ON NM,379327171,0.049,22-11-24
58,PETR3,PETROBRAS,ON N2,2448348744,4.817,22-11-24
59,PETR4,PETROBRAS,PN N2,4431132660,8.044,22-11-24
60,RECV3,PETRORECSA,ON ED NM,275699226,0.219,22-11-24
61,PRIO3,PETRORIO,ON NM,798909771,1.497,22-11-24
62,PETZ3,PETZ,ON ED NM,307729428,0.061,22-11-24
63,RADL3,RAIADROGASIL,ON NM,1279770315,1.555,22-11-24
64,RAIZ4,RAIZEN,PN N2,1192947233,0.139,22-11-24
65,RDOR3,REDE D OR,ON NM,1145289019,1.548,22-11-24
66,RAIL3,RUMO S.A.,ON NM,1215994115,1.159,22-11-24
67,SBSP3,SABESP,ON NM,683508570,3.168,22-11-24
68,SANB11,SANTANDER BR,UNT,356586730,0.432,22-11-24
69,STBP3,SANTOS BRP,ON NM,855712622,0.528,22-11-24
70,SMTO3,SAO MARTINHO,ON NM,142348116,0.166,22-11-24
71,CSNA3,SID NACIONAL,ON ED,736268400,0.385,22-11-24
72,SLCE3,SLC AGRICOLA,ON NM,194261422,0.156,22-11-24
73,SUZB3,SUZANO S.A.,ON NM,630821784,1.836,22-11-24
74,TAEE11,TAESA,UNT EDJ N2,218568234,0.354,22-11-24
75,VIVT3,TELEF BRASIL,ON,407257128,0.986,22-11-24
76,TIMS3,TIM,ON NM,807495418,0.614,22-11-24
77,TOTS3,TOTVS,ON NM,540206440,0.774,22-11-24
78,UGPA3,ULTRAPAR,ON NM,1090134379,0.941,22-11-24
79,USIM5,USIMINAS,PNA N1,515193199,0.149,22-11-24
80,VALE3,VALE,ON NM,4270903023,11.784,22-11-24
81,VAMO3,VAMOS,ON NM,485166826,0.143,22-11-24
82,VBBR3,VIBRA,ON NM,1023392529,1.054,22-11-24
83,VIVA3,VIVARA S.A.,ON NM,125823025,0.14,22-11-24
84,WEGE3,WEG,ON NM,1269032828,3.265,22-11-24
85,YDUQ3,YDUQS PART,ON NM,290010465,0.139,22-11-24
